feature,coef_hat,ci_lo,ci_hi,sign_stability
attire_Unknown,1.3976041182359122,1.2277637752122694,1.671359319261655,1.0
cuisine__food trucks,1.230415188457088,0.9567787785634759,1.5141096968031547,1.0
cuisine__latin american,0.9342269599772359,0.4599913172358037,1.4024478163006484,1.0
ambience_intimate,0.9341021562934073,0.3604626540649467,1.41195270993854,0.995
cuisine__cafes,0.9026990907954761,0.6678724481394884,1.1336345383088495,1.0
cuisine__vegan,0.8922337721704294,0.5487213826714082,1.24361499869006,1.0
cuisine__beer bar,0.752559610265501,0.23853636774209308,1.2024677406196447,1.0
cuisine__caterers,0.7101010112721432,0.49276979019200257,0.9706544129437377,1.0
cuisine__gluten-free,0.6913621623070829,0.28449764692105584,1.1236182258619103,1.0
cuisine__mediterranean,0.6751905345158145,0.2802937975154532,1.046828129730948,1.0
state_CA,0.6322665566012041,0.3769219116272158,0.8588547469308825,1.0
cuisine__specialty food,0.621472534780713,0.4839710695569759,0.7813697812881727,1.0
cuisine__wine bars,0.5773858433951526,0.3129072409131462,0.887190658102087,1.0
cuisine__desserts,0.5472907281377116,0.37861016555337873,0.6903794175094531,1.0
wifi_infrequent_sklearn,0.5324979374033947,0.0,1.066282879218475,0.93
cuisine__thai,0.46638360043061283,0.0,1.0436064811620704,0.955
parking_street,0.40943281165111317,0.2822115940164516,0.5493085239268525,1.0
cuisine__bakeries,0.34765002263199307,0.17987558373833537,0.5109011719572799,1.0
good_for_kids,0.26138790372312576,0.1254357166416347,0.40211980808186865,1.0
parking_validated,0.2600520535796746,-0.04798467516590789,0.7403064957763889,0.815
cuisine__vietnamese,0.24751905371862415,-0.11500583475945358,0.7348113548951747,0.805
state_NV,0.24605273649424925,0.0,0.4742483626787374,0.965
cuisine__juice bars & smoothies,0.19919932408194463,-0.05553011889487734,0.4440341582038309,0.925
cuisine__salad,0.19768240704284532,-0.06145670442680683,0.5105431089377979,0.89
cuisine__cocktail bars,0.1820218513145229,-0.08676825159797563,0.49965694216870987,0.84
cuisine__indian,0.18038958332882712,-0.39077912794006486,0.7742858880527598,0.715
cuisine__italian,0.12587259454657232,-0.10706060742891808,0.4341531057832896,0.77
cuisine__barbeque,0.12363728305547483,-0.11877443531682484,0.40747012539499705,0.835
state_TN,0.10468892626692221,-0.08940976789871423,0.2848524073105751,0.805
state_FL,0.1013955617589529,-0.0653139119411055,0.26201700119970023,0.865
ambience_classy,0.0939300425800326,-0.12500493988404213,0.286823053392965,0.755
cuisine__sandwiches,0.08129957528253122,-0.10115368133291978,0.22698363025104532,0.76
attire_casual,0.07655216752198755,0.0,0.3324432492110291,0.88
outdoor_seating,0.0700096278967004,-0.051768544694321884,0.21582496540298257,0.84
price,0.06163884912224101,0.01137854673341365,0.11552025914739938,0.99
state_IL,0.04950904298359475,-0.22187526976190303,0.37069198146018034,0.6
cuisine__vegetarian,0.04426414312349031,-0.2888399123562517,0.44246439830999257,0.52
cuisine__mexican,0.042898207645343835,-0.16734866209754273,0.2847901120933766,0.615
cuisine__japanese,0.033699625643889154,-0.29425079277183247,0.411193332794523,0.565
wifi_no,0.011758492364910623,-0.0628835824366973,0.09300265099640707,0.575
cuisine__tacos,0.001531763611403737,-0.3499499862979862,0.5178394841054824,0.48
ambience_trendy,-0.004464275005529883,-0.5671346927045293,0.3156878176492199,0.32
ambience_romantic,-0.005126702530857224,-0.8626317588891419,0.3261684164597745,0.255
wifi_free,-0.008748907542990717,-0.08891742690884044,0.07499115211072918,0.36
cuisine__seafood,-0.016478426350282373,-0.3770978348916658,0.23337091507937424,0.365
state_LA,-0.04323846546521771,-0.2519616499167421,0.11261567653865351,0.24
ambience_divey,-0.05863534442171453,-0.8324136917639041,0.3884673162739895,0.225
state_ID,-0.07031976045183358,-0.3131557434297311,0.11475094136041485,0.19
ambience_casual,-0.07451779003918167,-0.2838496434792283,0.11757553058457959,0.18
takeout,-0.07774093312295384,-0.18846995684319076,0.015550239198114919,0.065
state_AZ,-0.0927110218594786,-0.2900456562601114,0.08884895726724756,0.15
cuisine__american (new),-0.10734833637267285,-0.3657558689970386,0.13650698821104174,0.165
reservations,-0.1306737796194815,-0.3564755039128026,0.028525048823735077,0.055
parking_lot,-0.18304930129639824,-0.297615588645413,-0.09335523759118791,0.0
state_DE,-0.23573181864971465,-0.6115667092821703,0.04967543252432566,0.06
state_PA,-0.2482042318791431,-0.41162526252515547,-0.11945630572713165,0.0
accepts_credit_cards,-0.28206698376982414,-0.4144187695733911,-0.1590104326630912,0.0
cuisine__coffee & tea,-0.28960591797160523,-0.46626791111093463,-0.12423725015708421,0.0
delivery,-0.33975402008174305,-0.4602598677926759,-0.2515652905146601,0.0
cuisine__cajun/creole,-0.3402827532930936,-0.9777424303070509,0.0012057810880355382,0.03
parking_garage,-0.37188890584661694,-0.615744782888766,-0.14824202016635918,0.0
has_tv,-0.4019503937610504,-0.528432019765666,-0.2613573443445773,0.0
state_NJ,-0.4053539839039347,-0.6818887619204858,-0.19147943771726375,0.005
wifi_Unknown,-0.4097255127817911,-0.5308343664860127,-0.2948249695165563,0.0
ambience_hipster,-0.4128912649808975,-1.1415860450698103,0.014463643133447189,0.03
cuisine__ice cream & frozen yogurt,-0.4314605128965096,-0.6765993768893589,-0.17920126032402348,0.0
cuisine__bagels,-0.4321635904126477,-1.0466830997625982,0.0,0.005
attire_dressy,-0.45707057717472493,-1.8642397323869893,0.0,0.005
review_count_log1p,-0.56480195528946,-0.6542071138607933,-0.4993327876209837,0.0
attire_infrequent_sklearn,-0.6245023406924538,-0.966778695099008,-0.20651797796893243,0.0
cuisine__donuts,-0.644618341801088,-1.0582587536780126,-0.2916041110610262,0.0
cuisine__pizza,-0.6786244778384656,-0.9468634601744682,-0.41650188369862934,0.0
cuisine__american (traditional),-0.7661944526783177,-1.0358044646567897,-0.5493392831687512,0.0
good_for_groups,-0.778212749247547,-0.948419632455349,-0.6441773209675216,0.0
cuisine__chicken wings,-0.8224700504068593,-1.2490599161873608,-0.47057784706771283,0.0
cuisine__burgers,-0.8302236657433448,-1.149471115309337,-0.5793693903389566,0.0
parking_valet,-0.8881942776254961,-1.4498376672228797,-0.37232010854327535,0.0
cuisine__steakhouses,-0.8899171131461425,-2.0169881412062503,-0.37998600698725304,0.0
cuisine__tex-mex,-0.8989294924370643,-1.6407089467970197,-0.41118780388895615,0.0
state_AB,-1.1375758915227665,-1.4965256246354088,-0.865546700805315,0.0
cuisine__chinese,-1.4065353678118437,-1.9883326711682079,-1.0017453429565883,0.0
ambience_touristy,-1.464080702911752,-1.7434437902170923,-1.1619594339271377,0.0
ambience_upscale,-1.9555123811759714,-2.326248252388118,-1.5140405664611838,0.0
